rank,uid,title,year,venue,url,problem_claimed,actual_mechanism,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open
1,doi:10.1109/icra40945.2020.9196857,Wasserstein Distributionally Robust Motion Planning and Control with Safety Constraints Using Conditional Value-at-Risk,2020,2020 IEEE International Conference on Robotics and Automation (ICRA),https://doi.org/10.1109/icra40945.2020.9196857,Addresses robot planning and safety or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Constraint discovery from aborted actions keeps action-critical alternatives explicit until a physical observation collapses them.
2,doi:10.23919/ccc58697.2023.10241009,Time Optimal Planning-Based High-Speed Running Motion Generation for Humanoid Robots with Safety Constraints,2023,2023 42nd Chinese Control Conference (CCC),https://doi.org/10.23919/ccc58697.2023.10241009,Addresses robot planning and safety or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Constraint discovery from aborted actions keeps action-critical alternatives explicit until a physical observation collapses them.
3,doi:10.1109/icra.2013.6630692,Provably-correct stochastic motion planning with safety constraints,2013,2013 IEEE International Conference on Robotics and Automation,https://doi.org/10.1109/icra.2013.6630692,Addresses robot planning and safety or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Constraint discovery from aborted actions keeps action-critical alternatives explicit until a physical observation collapses them.
4,doi:10.1109/icma54519.2022.9856048,Laparoscopic automatic following motion planning of minimally invasive surgery robot based on safety constraints,2022,2022 IEEE International Conference on Mechatronics and Automation (ICMA),https://doi.org/10.1109/icma54519.2022.9856048,Addresses robot planning and safety or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Constraint discovery from aborted actions keeps action-critical alternatives explicit until a physical observation collapses them.
5,doi:10.3390/s21030796,Learning-Based End-to-End Path Planning for Lunar Rovers with Safety Constraints,2021,Sensors,https://doi.org/10.3390/s21030796,Addresses robot planning and safety or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Constraint discovery from aborted actions keeps action-critical alternatives explicit until a physical observation collapses them.
6,doi:10.4114/intartif.vol21iss62pp25-39,A Constraint-based Mission Planning Approach for Reconfigurable Multi-Robot Systems,2018,Inteligencia Artificial,https://doi.org/10.4114/intartif.vol21iss62pp25-39,Addresses robot planning and safety or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Constraint discovery from aborted actions keeps action-critical alternatives explicit until a physical observation collapses them.
7,doi:10.1109/icra.2018.8460185,Collision-Free Motion Planning for Human-Robot Collaborative Safety Under Cartesian Constraint,2018,2018 IEEE International Conference on Robotics and Automation (ICRA),https://doi.org/10.1109/icra.2018.8460185,Addresses robot planning and safety or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Constraint discovery from aborted actions keeps action-critical alternatives explicit until a physical observation collapses them.
8,doi:10.1016/j.robot.2024.104823,Identification of physically consistent dynamics parameter of the ABB IRB 360-6/1600 delta robot and its use for time-optimal motion planning under consideration of constraint forces,2024,Robotics and Autonomous Systems,https://doi.org/10.1016/j.robot.2024.104823,Addresses robot planning and safety or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Constraint discovery from aborted actions keeps action-critical alternatives explicit until a physical observation collapses them.
9,doi:10.54254/2755-2721/2025.ast27134,Integrating Motion Planning in Vision Language Action Agents,2025,Applied and Computational Engineering,https://doi.org/10.54254/2755-2721/2025.ast27134,Addresses robot planning and safety or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Constraint discovery from aborted actions keeps action-critical alternatives explicit until a physical observation collapses them.
10,arxiv:2605.19209v1,Graph Neural Planning and Predictive Control for Multi-Robot Communication-Constrained Unlabeled Motion Planning,2026,arXiv,http://arxiv.org/abs/2605.19209v1,Addresses robot planning and safety or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Constraint discovery from aborted actions keeps action-critical alternatives explicit until a physical observation collapses them.
